"UNIQID (4code heb,3loc,2num)",Nom du site,Hebergeur,Status,Nom du shareholders majoritaire,Nationalité des shareholders majoritaire,"Localisation du siège social
(https://docs.google.com/spreadsheets/d/1wPAT8Ono6axL2cRqo1JVoWD9qp_6nuZnGyFqvkHhOhA/edit?usp=sharing)",Ville,Adresse,Emplacement,Pays,Type,Power density (W/pi2),Équipé pour l'IA,Nombre de batiments,Nombre d'étages,Surface estimee qgis,Surface - Batiment (PI2),Surface - salles IT (PI2),Puissance annoncée (MW),Power density (W/pi2) - annoncé,Puissance calculée depuis surface (MW),PUE,Site web,Fiche technique / documentation,Source,Interval de confiance des données
ARGOBCO01,Argo Blockchain,Argo Blockchain,En opération,,,,Baie-comeau,8 Av. William Dobell Baie-Comeau G4Z 1T7,8 Av. William Dobell,Canada,Crypto,743,,,,,40 000,20 000,"15,0",750,"14,9",,,https://www.argoblockchain.com/our-operations,,
AWSDVAR1,AWS YUL,Amazon,En opération,Jeff Bezos (largest individual shareholder of Amazon),United States,"Seattle, USA",Varennes,1790 Bd Lionel-Boulet A Varennes  J3X 1S1,"45° 37' 27.066"" N 73° 22' 50.4804"" W",Canada,Hyperscale / HPC (>40MW - 100k pi2),557,,2,,,310 000,155 000,,,"86,4",,,,,
BNFDMTL1,Beanfield  - 3445 Park Ave,Beanfield ,En opération,DigitalBridge (major investor/acquirer) and OMERS infrastructure,U.K. and Netherlands,"Toronto, Canada",Montréal,3445 Av. du Parc Montréal H2X 2H6,3445 Av. du Parc,Canada,"Retail (< 10 MW, 5k - 21k pi2)",186,,1,,,26 600,13 300,"5,0",376,"2,5",,https://www.beanfield.com/business/colocation-data-centre/3445-park-avenue/,,,
CLCQMTL01,Calcul Quebec - HPC,Calcul Québec,En opération,Government of Québec (primary funder),Canadian (Québec),"Montréal, Québec, Canada",Montréal,1100 Rue Notre Dame O Montréal H3C 1K3,École de technologie supérieure ÉTS,Canada,Hyperscale / HPC (>40MW - 100k pi2),557,IA,1,,,19 375,9 688,"2,0",206,"5,4",,https://www.calculquebec.ca/,,,
CLCQMTL02,Calcul Quebec - Quantique,Calcul Québec,En opération,Government of Québec (primary funder),Canadian (Québec),"Montréal, Québec, Canada",Montréal,1101 R. Notre Dame O Montréal H3C 1K3,École de technologie supérieure ÉTS,Canada,Quantique,93,,,,,540,270,,0,"0,0",,,,,
CLGXDMD01,Cologix MTL9,Cologix,En opération,Stonepeak (majority owner),United States,"Denver, USA",Drummonville,2525 Rue Canadien Drummondville J2C 7W2,2525 Rue Canadien,Canada,"Wholesale (>10MW, 21k - 100k pi2)",186,,1,,,120 000,60 000,"25,0",417,"11,1",,https://cologix.com/data-centers/montreal/mtl9,https://cologix.com/wp-content/uploads/2026/01/SS_MTL9-Montreal-Data-Centre_12-2025_EN.pdf,,
CLGXLGL10,Cologix MTL10,Cologix,En opération,Stonepeak (majority owner),United States,"Denver, USA",Longeuil,530 Rue Bériault Longueuil J4G 1S8,Cologix Montreal (MTL10 Data Center),Canada,"Wholesale (>10MW, 21k - 100k pi2)",186,IA,1,,,240 000,120 000,"35,0",292,"22,3",,https://cologix.com/data-centers/montreal/mtl10,https://cologix.com/wp-content/uploads/2026/01/SS_MTL10-Montreal-Data-Centre_12-2025_EN.pdf,,
CLGXMTL02,Cologix MTL2,Cologix,En opération,Stonepeak (majority owner),United States,"Denver, USA",Montréal,3000 Boul. Rene Levesque Verdun H3E 1T9,3000 Bd René Lévesque,Canada,"Retail (< 10 MW, 5k - 21k pi2)",186,,1,,,10 000,5 000,"1,1",220,"0,9","1,3",https://cologix.com/data-centers/montreal/mtl2,https://cologix.com/wp-content/uploads/2026/01/SS_MTL2-Montreal-Data-Centre_12-2025_EN.pdf,,
CLGXMTL03,Cologix MTL3,Cologix,En opération,Stonepeak (majority owner),United States,"Denver, USA",Montréal,1250 Boul. Rene-Levesque Ouest Montréal H3B 4X4,Cologix Montreal Data Centre (MTL 3),Canada,"Retail (< 10 MW, 5k - 21k pi2)",186,,1,,,33 000,16 500,"1,5",91,"3,1","1,4",https://cologix.com/data-centers/montreal/mtl3/,https://cologix.com/wp-content/uploads/2026/01/SS_MTL3-Montreal-Data-Centre_12-2025_EN.pdf,,
CLGXMTL04,Cologix MTL4,Cologix,En opération,Stonepeak (majority owner),United States,"Denver, USA",Montréal,7171 Rue Jean-Talon Est Anjou H1M 3N2,Cologix Montreal (MTL4 Data Center),Canada,"Retail (< 10 MW, 5k - 21k pi2)",186,,1,,,12 000,6 000,"0,8",133,"1,1","1,7",https://cologix.com/data-centers/montreal/mtl4,https://cologix.com/wp-content/uploads/2026/01/SS_MTL4-Montreal-Data-Centre_12-2025_EN.pdf,,
